pa_obligation_id;article;theme;obligation_or_commitment_summary;legal_status;requires_ratification_implementation_review;requires_domestic_legal_anchoring;possible_domestic_actor;implementation_domain;depends_on_pabs_annex;notes
"PA_ART01_001";"Article 1";"national governance";"Defines 'pandemic emergency' as a PHEIC caused by a communicable disease with wide geographical spread, health system overload, substantial social/economic disruption, and need for enhanced international action — a legally operative definition that activates specific Agreement obligations";"adopted agreement provision";"Yes";"Yes";"Ministry of Health; National IHR Authority / National IHR Focal Point; Legislature / parliament";"legal and regulatory framework";"No";"Adopted text; definition is operative and may require domestic alignment with IHR 2005 pandemic emergency determination per Art. 12 IHR; update if IHR term is further amended"
"PA_ART01_002";"Article 1";"equitable access";"Defines 'pandemic-related health products' as those relevant health products needed for prevention, preparedness and response to pandemic emergencies — cross-cutting definition applicable to supply chain, procurement, R&D, PABS, and access provisions";"adopted agreement provision";"Yes";"Partial / administrative implementation possible";"Ministry of Health; Regulatory authority for medicines and health products; National public health authority";"legal and regulatory framework";"Partially";"Adopted text; definition is operationally dependent on 'relevant health products' as defined in IHR (2005) Art. 1 (2024 amendment); PABS Annex will further specify scope for pathogens"
"PA_ART01_003";"Article 1";"health systems";"Defines 'universal health coverage' as access to the full range of quality health services without financial hardship, covering the full continuum of essential health services — anchors the equity framing of the Agreement";"adopted agreement provision";"No";"No";"TBD after country mapping";"legal and regulatory framework";"No";"Adopted text; definitional only; no standalone domestic obligation"
"PA_ART02_001";"Article 2";"prevention";"The objective of the Agreement — guided by equity — is to prevent, prepare for and respond to pandemics; provisions apply both during and between pandemics unless otherwise specified";"framework obligation";"Yes";"Partial / administrative implementation possible";"Ministry of Health; National IHR Authority / National IHR Focal Point";"national coordination";"No";"Adopted text; objective clause; does not stand alone as a domestic obligation but defines the interpretive frame for all substantive provisions"
"PA_ART03_001";"Article 3";"national governance";"Parties shall be guided by: sovereign right to legislate; full respect for dignity, human rights and fundamental freedoms; international humanitarian law; equity as goal, principle and outcome; solidarity; and best available science and evidence";"adopted agreement provision";"Yes";"Partial / administrative implementation possible";"Ministry of Health; Legislature / parliament; Ministry of Foreign Affairs";"legal and regulatory framework";"No";"Adopted text; principles clause; has interpretive legal force; equity and human rights principles may require domestic legal review for compliance in implementation"
"PA_ART04_001";"Article 4";"prevention";"Parties shall take steps through international collaboration to progressively strengthen pandemic prevention and surveillance measures and capacities, consistent with IHR (2005)";"cooperation commitment";"Yes";"Partial / administrative implementation possible";"Ministry of Health; Ministry of Foreign Affairs; National IHR Authority / National IHR Focal Point";"public health surveillance";"No";"Adopted text; requires ratification/implementation review; IHR consistency clause creates cross-instrument obligations"
"PA_ART04_002";"Article 4";"prevention";"Each Party shall develop or strengthen comprehensive multisectoral national pandemic prevention and surveillance plans consistent with IHR (2005), covering areas in Art. 4.2(a)–(j), taking into account public health priorities and relevant international standards";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Health; National public health authority; National IHR Authority / National IHR Focal Point; Subnational governments";"public health surveillance";"No";"Adopted text; requires ratification/implementation review; multisectoral plan must address at minimum items (a)–(j); subject to national circumstances and resource availability"
"PA_ART04_003";"Article 4";"prevention";"Each Party shall take measures to prevent emerging and re-emerging infectious diseases, promoting collaboration across sectors to identify and address drivers of infectious disease at the human-animal-environment interface";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Health; Agriculture / animal health authority; Environmental authority; One Health coordination mechanism";"One Health governance";"No";"Adopted text; cross-sectoral mandate requires institutional coordination mechanisms; possible overlap with One Health obligations in Art. 5"
"PA_ART04_004";"Article 4";"One Health";"Each Party shall take measures to prevent infectious disease transmission between animals and humans, including measures to identify and reduce pandemic risks associated with human-animal interactions and prevention at source";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Agriculture / animal health authority; Ministry of Health; Environmental authority; One Health coordination mechanism";"One Health governance";"No";"Adopted text; requires coordination with animal health sector; domestic legislation may need amendment if One Health coordination mechanisms are absent"
"PA_ART04_005";"Article 4";"surveillance";"Each Party shall establish coordinated multisectoral surveillance to detect and assess pathogens with pandemic potential — including zoonotic and AMR pathogens — and share outputs across sectors within its territory";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"National public health authority; National laboratory network; Agriculture / animal health authority; Environmental authority";"public health surveillance";"No";"Adopted text; requires ratification/implementation review; intersectoral information sharing may require legal frameworks; closely related to IHR core capacity CC1 and CC5"
"PA_ART04_006";"Article 4";"surveillance";"Each Party shall strengthen community-level mechanisms to detect and report unusual public health events to relevant authorities within its territory for early containment";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"National public health authority; Subnational governments; National IHR Authority / National IHR Focal Point";"emergency preparedness and response";"No";"Adopted text; requires community-level surveillance architecture; subnational coordination often requires domestic legal framework"
"PA_ART04_007";"Article 4";"health systems";"Each Party shall strengthen efforts to ensure access to safe water, sanitation and hygiene for all, including in hard-to-reach areas, as part of pandemic prevention";"adopted agreement provision requiring future ratification/implementation";"Yes";"Partial / administrative implementation possible";"Ministry of Health; Subnational governments";"health system strengthening";"No";"Adopted text; WASH obligation is a long-standing SDG commitment; domestic anchoring depends on existing infrastructure legislation"
"PA_ART04_008";"Article 4";"prevention";"Each Party shall strengthen effective routine immunization programmes, including maintaining high coverage, timely supplementary vaccination, public awareness of immunization, and strengthening supply chains and immunization systems";"adopted agreement provision requiring future ratification/implementation";"Yes";"Partial / administrative implementation possible";"Ministry of Health; National public health authority; Subnational governments";"health system strengthening";"No";"Adopted text; requires ratification/implementation review; immunization programme obligations may require regulatory framework for vaccine approval and mandatory schedules"
"PA_ART04_009";"Article 4";"preparedness";"Each Party shall implement infection prevention and control measures, including safe management of medical waste in health care facilities and long-term care facilities";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Health; National public health authority; Regulatory authority for medicines and health products";"health system strengthening";"No";"Adopted text; IPC measures often require health facility regulation and medical waste management legislation"
"PA_ART04_010";"Article 4";"surveillance";"Each Party shall develop, strengthen and maintain capacities for surveillance, risk assessment and prevention of vector-borne diseases that may lead to pandemic emergencies, including consideration of social, demographic and environmental factors";"adopted agreement provision requiring future ratification/implementation";"Yes";"Partial / administrative implementation possible";"National public health authority; National laboratory network; Environmental authority";"public health surveillance";"No";"Adopted text; may require dedicated surveillance programmes and inter-agency coordination"
"PA_ART04_011";"Article 4";"preparedness";"Each Party shall implement laboratory biological risk management, including biosafety and biosecurity training and practices, and ensuring safety of transportation in accordance with applicable international and national regulations";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"National laboratory network; National public health authority; Customs / border authorities";"laboratories";"No";"Adopted text; requires legal and regulatory framework for biosafety, biosecurity and dangerous goods transport"
"PA_ART04_012";"Article 4";"prevention";"Each Party shall take measures to address public health risks associated with AMR, including facilitating affordable and equitable access to antimicrobials and promoting appropriate, prudent and responsible use across relevant sectors";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Health; Regulatory authority for medicines and health products; Agriculture / animal health authority";"legal and regulatory framework";"No";"Adopted text; AMR obligations may require national action plans and prescription/dispensing regulatory frameworks"
"PA_ART05_001";"Article 5";"One Health";"Parties shall promote a One Health approach for pandemic prevention, preparedness and response that is coherent, integrated, coordinated and collaborative across all relevant organizations, sectors and actors, consistent with national law and applicable international law";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"One Health coordination mechanism; Ministry of Health; Agriculture / animal health authority; Environmental authority";"One Health governance";"No";"Adopted text; promotes One Health as a cross-sectoral governance requirement; may require establishing legal basis for One Health coordination mechanism"
"PA_ART05_002";"Article 5";"One Health";"Parties shall take measures to identify and address drivers of pandemics and emergence of infectious diseases at the human-animal-environment interface, through relevant pandemic prevention, preparedness and response plans";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"One Health coordination mechanism; Agriculture / animal health authority; Environmental authority; Ministry of Health";"One Health governance";"No";"Adopted text; cross-sectoral measures require institutional basis; domestic legislation for inter-agency coordination may be needed"
"PA_ART05_003";"Article 5";"One Health";"Each Party shall develop, implement and review relevant national policies and strategies that reflect a One Health approach for pandemic prevention, preparedness and response, including community engagement";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"One Health coordination mechanism; Ministry of Health; Agriculture / animal health authority; Environmental authority";"One Health governance";"No";"Adopted text; requires ratification/implementation review; policy and strategy development may require formal inter-institutional mandate"
"PA_ART05_004";"Article 5";"health workforce";"Parties shall promote or establish joint training and continuing education programmes for the workforce at the human-animal-environment interface, building relevant and complementary skills in a One Health approach";"adopted agreement provision requiring future ratification/implementation";"Yes";"Partial / administrative implementation possible";"Ministry of Health; Agriculture / animal health authority; Environmental authority; Science and technology authority";"One Health governance";"No";"Adopted text; joint training may require inter-ministerial coordination and budgetary planning; can often be achieved administratively"
"PA_ART06_001";"Article 6";"health systems";"Each Party, within the means and resources at its disposal, shall develop, strengthen and maintain a resilient health system, particularly primary health care, for pandemic prevention, preparedness and response, taking into account equity and aiming at universal health coverage";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Health; Subnational governments; Ministry of Finance";"health system strengthening";"No";"Adopted text; health system resilience obligation is broad; may require legislative framework for pandemic-specific health system planning and financing"
"PA_ART06_002";"Article 6";"preparedness";"Each Party shall develop or strengthen health system functions for: equitable access to clinical care during pandemics; procurement and supply chain management; laboratory and diagnostic capacities; risk communication and community engagement; and post-pandemic recovery";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Health; National public health authority; National laboratory network; Public procurement authority";"emergency preparedness and response";"No";"Adopted text; multi-component health system obligation; laboratory and procurement components may require specific regulatory frameworks"
"PA_ART06_003";"Article 6";"information and reporting";"Each Party shall endeavour to develop, strengthen and maintain national health information systems, in accordance with national law, including use of international data standards for interoperability, based on good data governance";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Health; National public health authority; Data protection authority";"reporting and accountability";"No";"Adopted text; health information systems may require data governance legislation and cross-agency data sharing frameworks"
"PA_ART06_004";"Article 6";"implementation and review";"Each Party shall monitor its preparedness capacities and periodically assess the functioning, readiness and gaps in its pandemic prevention, preparedness and response capacities";"adopted agreement provision requiring future ratification/implementation";"Yes";"Partial / administrative implementation possible";"Ministry of Health; National IHR Authority / National IHR Focal Point; National public health authority";"reporting and accountability";"No";"Adopted text; periodic assessment is an ongoing monitoring obligation; may be integrated with IHR State Party Self-Assessment reporting"
"PA_ART07_001";"Article 7";"health workforce";"Each Party shall take appropriate measures to develop, strengthen, protect, retain and invest in a multidisciplinary, skilled, adequate, trained, domestic health and care workforce, including in humanitarian settings, while maintaining essential health services";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Health; Subnational governments; Ministry of Finance";"health system strengthening";"No";"Adopted text; health workforce development obligation may require regulatory frameworks for training, licensing and deployment"
"PA_ART07_002";"Article 7";"health workforce";"Each Party shall ensure decent work and protect the safety, mental health, well-being and capacity of the health and care workforce, including priority access to pandemic-related health products, non-discrimination, elimination of violence, and work-related injury/disability/death policies";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Health; Legislature / parliament";"legal and regulatory framework";"No";"Adopted text; decent work and non-discrimination obligations may require labour law and occupational health legislation"
"PA_ART07_003";"Article 7";"health workforce";"Each Party shall endeavour to designate or establish national, subnational and/or regional multidisciplinary emergency health teams; Parties shall take measures to strengthen and sustain a skilled global health emergency workforce deployable upon request";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Health; National public health authority; Subnational governments";"emergency preparedness and response";"No";"Adopted text; designation of emergency health teams may require formal legal establishment and inter-agency mandate"
"PA_ART07_004";"Article 7";"health workforce";"Parties shall collaborate to minimize the negative impact of health and care workforce migration on health systems, respecting freedom of movement and taking into account the WHO Global Code of Practice on International Recruitment of Health Personnel";"cooperation commitment";"Yes";"Partial / administrative implementation possible";"Ministry of Health; Ministry of Foreign Affairs; Legislature / parliament";"international cooperation";"No";"Adopted text; migration policy dimension may require legal framework provisions on health worker recruitment and bilateral agreements"
"PA_ART07_005";"Article 7";"health workforce";"Parties shall ensure decent work and a safe environment for essential workers during pandemic emergencies, including coordinated policies for transport and supply chain workers and facilitation of their transit and access to medical care";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Ministry of Health; Legislature / parliament; Customs / border authorities";"legal and regulatory framework";"No";"Adopted text; supply chain worker protection requires regulatory framework; cross-border transit facilitation may need diplomatic arrangements"
"PA_ART08_001";"Article 8";"health systems";"Each Party shall strengthen its national and, where appropriate, regional regulatory authority responsible for authorization and approval of pandemic-related health products, including through WHO technical assistance and cooperation with other Parties";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Regulatory authority for medicines and health products; Ministry of Health";"legal and regulatory framework";"No";"Adopted text; regulatory authority strengthening may require legislative establishment and expanded mandate"
"PA_ART08_002";"Article 8";"health systems";"Each Party shall ensure technical capacity and legal, administrative, and financial frameworks for: expedited regulatory review and/or emergency authorization of pandemic-related health products; and effective vigilance to monitor safety and effectiveness";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Regulatory authority for medicines and health products; Ministry of Health; Legislature / parliament";"legal and regulatory framework";"No";"Adopted text; expedited/emergency authorization requires explicit legal basis in domestic medicines law"
"PA_ART08_003";"Article 8";"information and reporting";"Each Party shall make publicly available and keep updated: information on regulatory processes for pandemic-related health products; and information on products authorized or approved, including relevant additional information";"adopted agreement provision requiring future ratification/implementation";"Yes";"Partial / administrative implementation possible";"Regulatory authority for medicines and health products";"reporting and accountability";"No";"Adopted text; transparency obligation; can often be achieved through administrative action; legal basis for information disclosure may be needed in some systems"
"PA_ART08_004";"Article 8";"health systems";"Each Party shall endeavour to adopt, where needed, regulatory reliance mechanisms for pandemic-related health products during PHEICs, taking into account relevant guidelines";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Regulatory authority for medicines and health products; Legislature / parliament";"legal and regulatory framework";"No";"Adopted text; regulatory reliance requires legal enabling framework in national medicines law; 'endeavour to adopt' softens the obligation"
"PA_ART08_005";"Article 8";"health systems";"Each Party shall encourage relevant developers and manufacturers to diligently seek regulatory authorizations and approvals from national and/or regional regulatory authorities, including WHO listed authorities, and WHO prequalification";"implementation-oriented commitment";"No";"No";"Regulatory authority for medicines and health products; Ministry of Health";"legal and regulatory framework";"No";"Adopted text; promotional obligation; primarily directed at encouraging market actors; no direct domestic legislative anchoring required"
"PA_ART09_001";"Article 9";"research and development";"Parties shall cooperate to build, strengthen and sustain geographically diverse R&D capacities and institutions, particularly in developing countries, and promote rapid sharing of research information and results during PHEICs";"cooperation commitment";"Yes";"Partial / administrative implementation possible";"Science and technology authority; Ministry of Health; Research institutions";"research and development";"No";"Adopted text; international cooperation commitment; may benefit from domestic framework for international R&D partnerships and data sharing"
"PA_ART09_002";"Article 9";"research and development";"Parties shall promote sustained investment in research institutions and networks, scientific programmes and partnerships with developing country researchers, generation of evidence synthesis, sharing of research agendas, capacity-building programmes, and accelerating innovative R&D with biosafety compliance";"adopted agreement provision requiring future ratification/implementation";"Yes";"Partial / administrative implementation possible";"Science and technology authority; Ministry of Health; Research institutions; Legislature / parliament";"research and development";"No";"Adopted text; sustained investment implies budgetary planning and possible legislative mandate for R&D funding"
"PA_ART09_003";"Article 9";"research and development";"Each Party shall promote well-designed clinical trials in its jurisdiction during PHEICs, including representative trial populations, sharing of comparator products, and promoting access to products resulting from trials";"adopted agreement provision requiring future ratification/implementation";"Yes";"Yes";"Regulatory authority for medicines and health products; Ministry of Health; Science and technology authority";"research and development";"No";"Adopted text; clinical trial facilitation may require legal framework for emergency authorization and expedited ethics review"
"PA_ART09_004";"Article 9";"information and reporting";"Each Party shall support rapid and transparent publication of clinical trial protocols and other research results related to the implementation of the Agreement";"cooperation commitment";"Yes";"Partial / administrative implementation possible";"Science and technology authority; Research institutions";"reporting and accountability";"No";"Adopted text; transparency commitment; may be implemented through funding conditions or regulatory requirements"
